borough,n,pearson,spearman
QN,8043.0,-0.030945840302751312,-0.022520177617437888
BK,5850.0,-0.07368113160067172,-0.09342025676142669
SI,2785.0,0.16905250998339857,0.19334512706423485
BX,2137.0,-0.07391918283892093,-0.09525051897405405
MN,722.0,-0.19708813547483603,-0.14483894466136094
