borough,block,lot,sale_price,bldgarea,price_per_bldg_sqft
BK,33,39,2300000,2470.0,931.1740890688259
BK,42,35,675000,2796.0,241.41630901287553
BK,64,8,2800000,25500.0,109.80392156862744
BK,68,107,388000,89050.0,4.357102751263335
BK,86,11,1500000,883265.0,1.698244581184582
